2023-11-05 20:51:30,579 - INFO - Endpoint: /project/4/project_detail | Processing time: 0.9990000000000001 ms
2023-11-05 20:51:30,595 - INFO - Endpoint: /project/4/project_detail | Processing time: 14.16 ms
2023-11-05 20:54:30,545 - INFO - Endpoint: /dashboard/project/ | Processing time: 1.0 ms
2023-11-05 20:54:30,546 - INFO - Endpoint: /building/additional_sub_info | Processing time: 1.0 ms
2023-11-05 20:54:30,547 - INFO - Endpoint: /building/additional_sub_info | Processing time: 2.0010000000000003 ms
2023-11-05 20:54:30,547 - INFO - Endpoint: /user/profile | Processing time: 2.0010000000000003 ms
2023-11-05 20:54:30,547 - INFO - Endpoint: /user/profile | Processing time: 2.0010000000000003 ms
2023-11-05 20:54:30,548 - INFO - Endpoint: /dashboard/project/ | Processing time: 3.003 ms
2023-11-05 20:54:30,552 - INFO - Endpoint: /dashboard/project/ | Processing time: 2.0 ms
2023-11-05 20:54:30,584 - INFO - Endpoint: /dashboard/project/ | Processing time: 31.675 ms
2023-11-05 20:54:30,676 - INFO - Endpoint: /dashboard/project | Processing time: 14.626999999999999 ms
2023-11-05 20:54:30,677 - INFO - Endpoint: /dashboard/project | Processing time: 1.0 ms
2023-11-05 20:54:30,738 - INFO - Endpoint: /dashboard/project | Processing time: 59.964000000000006 ms
2023-11-05 20:54:30,740 - INFO - Endpoint: /dashboard/project | Processing time: 61.691 ms
2023-11-05 20:54:31,434 - INFO - Endpoint: /project/4/project_detail | Processing time: 0.0 ms
2023-11-05 20:54:31,456 - INFO - Endpoint: /project/4/project_detail | Processing time: 17.993 ms
2023-11-05 20:55:20,773 - INFO - Endpoint: /dashboard/project/ | Processing time: 0.0 ms
2023-11-05 20:55:20,773 - INFO - Endpoint: /user/profile | Processing time: 0.0 ms
2023-11-05 20:55:20,773 - INFO - Endpoint: /building/additional_sub_info | Processing time: 0.0 ms
2023-11-05 20:55:20,773 - INFO - Endpoint: /building/additional_sub_info | Processing time: 0.0 ms
2023-11-05 20:55:20,773 - INFO - Endpoint: /dashboard/project/ | Processing time: 0.0 ms
2023-11-05 20:55:20,773 - INFO - Endpoint: /user/profile | Processing time: 0.0 ms
2023-11-05 20:55:20,773 - INFO - Endpoint: /dashboard/project/ | Processing time: 0.0 ms
2023-11-05 20:55:20,829 - INFO - Endpoint: /dashboard/project/ | Processing time: 55.082 ms
